groupe,modèle,mode,temps,formes,personne
-ir,venir,indicatif,passé composé,tu es venu,tu
-ir,venir,indicatif,passé composé,elle est venue,elle
-ir,venir,indicatif,passé composé,nous sommes venus,nous
-ir,venir,indicatif,passé composé,vous êtes venus,vous
-ir,venir,indicatif,passé composé,elles sont venues,elles
-ir,venir,indicatif,imparfait,je venais,je
-ir,venir,indicatif,imparfait,tu venais,tu
-ir,venir,indicatif,imparfait,il venait,il
-ir,venir,indicatif,imparfait,nous venions,nous
-ir,venir,indicatif,imparfait,vous veniez,vous
-ir,venir,indicatif,imparfait,ils venaient,ils
-ir,finir,indicatif,imparfait,je finissais,je
-ir,finir,indicatif,imparfait,tu finissais,tu
-ir,finir,indicatif,imparfait,il finissait,il
-ir,finir,indicatif,imparfait,nous finissions,nous
-ir,finir,indicatif,imparfait,vous finissiez,vous
-ir,finir,indicatif,imparfait,ils finissaient,ils
Autres,être,indicatif,passé composé,j'ai été,je
Autres,être,indicatif,passé composé,tu as été,tu
Autres,être,indicatif,passé composé,il a été,il
Autres,être,indicatif,passé composé,nous avons été,nous
Autres,être,indicatif,passé composé,vous avez été,vous
Autres,être,indicatif,passé composé,ils ont été,ils
Autres,être,indicatif,imparfait,j'étais,je
Autres,être,indicatif,imparfait,tu étais,tu
Autres,être,indicatif,imparfait,il était,il
Autres,être,indicatif,imparfait,nous étions,nous
Autres,être,indicatif,imparfait,vous étiez,vous
Autres,être,indicatif,imparfait,ils étaient,ils
Autres,être,indicatif,futur simple,je serai,je
Autres,être,indicatif,futur simple,tu seras,tu
Autres,être,indicatif,futur simple,il sera,il
Autres,être,indicatif,futur simple,nous serons,nous
Autres,être,indicatif,futur simple,vous serez,vous
Autres,être,indicatif,futur simple,ils seront,ils
Autres,être,conditionnel,présent,je serais,je
Autres,être,conditionnel,présent,tu serais,tu
Autres,être,conditionnel,présent,il serait,il
Autres,être,conditionnel,présent,nous serions,nous
Autres,être,conditionnel,présent,vous seriez,vous
Autres,être,conditionnel,présent,ils seraient,ils
Autres,être,conditionnel,passé,j'aurais été,je
Autres,être,conditionnel,passé,tu aurais été,tu
Autres,être,conditionnel,passé,il aurait été,il
Autres,être,conditionnel,passé,nous aurions été,nous
Autres,être,conditionnel,passé,vous auriez été,vous
Autres,être,conditionnel,passé,ils auraient été,ils
Autres,être,subjonctif,présent,je sois,je
Autres,être,subjonctif,présent,tu sois,tu
Autres,être,subjonctif,présent,il soit,il
Autres,être,subjonctif,présent,nous soyons,nous
Autres,être,subjonctif,présent,vous soyez,vous
Autres,être,subjonctif,présent,ils soient,ils
Autres,être,subjonctif,imparfait,je fusse,je
